A,,01,,,,,,,,,,,,
A00/09,,,,,,,,,,,,,,
A00,,01.120,03.120,03.120.01,03.120.10,03.120.20,03.120.30,03.120.99,,,,,,
A01,,01.040.01,01.110,03.100.40,,,,,,,,,,
A02,,03.040,03.100.30,03.100.10,03.100.50,03.100.60,,,,,,,,
A10/19,,03.160,,,,,,,,,,,,
A10,,01.040.03,03,03.100,03.100.01,03.100.20,03.200,,,,,,,
A11,,03.060,35.240.40,,,,,,,,,,,
A12,,03.080.30,,,,,,,,,,,,
A13,,01.140.30,,,,,,,,,,,,
A14,,01.140.20,03.140,35.240.30,37.080,,,,,,,,,
A15,,01.040.37,37,37.040,37.040.01,37.040.99,37.060,37.060.01,37.060.99,,,,,
A16,,03.080,03.080.01,03.080.10,03.080.20,03.080.99,,,,,,,,
A17,,37.100,37.100.01,37.100.20,37.100.99,,,,,,,,,
A18,,03.180,,,,,,,,,,,,
A19,,01.140,01.140.10,01.140.40,,,,,,,,,,
A20/39,,,,,,,,,,,,,,
A20,,,,,,,,,,,,,,
A21,,19,19.020,01.040.19,19.040,,,,,,,,,
A22,,01.020,01.040,01.075,01.080,01.080.01,01.080.10,01.080.20,01.080.99,,,,,
A24,,,,,,,,,,,,,,
A25,,13.180,,,,,,,,,,,,
A26,,01.070,,,,,,,,,,,,
A28,,19.120,,,,,,,,,,,,
A29,,25.220,25.220.01,25.220.10,25.220.20,25.220.40,25.220.60,25.220.99,25.220.50,,,,,
A31,,,,,,,,,,,,,,
A40/49,,,,,,,,,,,,,,
A40,,01.040.07,07,07.040,07.060,07.080,07.100,07.100.01,07.100.99,35.240.70,,,,
A41,,07.020,,,,,,,,,,,,
A42,,01.040.23,01.040.27,07.030,23,23.020.99,,,,,,,,
A43,,71.040.40,71.040.50,71.040.99,71.060,71.060.01,71.060.10,71.080,71.080.01,71.080.99,,,,
A44,,,,,,,,,,,,,,
A45,,,,,,,,,,,,,,
A46,,,,,,,,,,,,,,
A47,,,,,,,,,,,,,,
A50/64,,17,,,,,,,,,,,,
A50,,01.040.17,17.020,,,,,,,,,,,
A51,,01.060,,,,,,,,,,,,
A52,,17.040,17.040.01,17.040.30,17.040.99,,,,,,,,,
A53,,17.100,17.060,17.080,,,,,,,,,,
A54,,17.200,17.200.01,17.200.10,17.200.99,17.200.20,,,,,,,,
A55,,17.220,17.220.01,17.220.20,17.220.99,,,,,,,,,
A56,,,,,,,,,,,,,,
A57,,,,,,,,,,,,,,
A58,,,,,,,,,,,,,,
A59,,17.140,17.140.01,17.140.99,17.140.50,17.140.20,17.140.30,,,,,,,
A60,,17.180,17.180.01,17.180.20,17.180.99,,,,,,,,,
A61,,,,,,,,,,,,,,
A65/74,,,,,,,,,,,,,,
A65,,,,,,,,,,,,,,
